Configuration, Epochs, Learning Rate, Regularization, Momentum, Loss (MSE), Evaluation (MEE)
110, 300, 0.01, 5e-05, 0.03, 6.914319589935833, 2.239063634432054
111, 300, 0.01, 5e-05, 0.01, 6.944074111555901, 2.2930501321060266
112, 300, 0.01, 3e-05, 0.8, 987.6643747611008, 6.327485681219122
113, 300, 0.01, 3e-05, 0.5, 8.068908125986313, 2.2408412973118894
114, 300, 0.01, 3e-05, 0.3, 6.9441599375271865, 2.1992275356234567
115, 300, 0.01, 3e-05, 0.1, 7.048989066144043, 2.278431321673192
116, 300, 0.01, 3e-05, 0.08, 7.059351985535445, 2.306142794976494
117, 300, 0.01, 3e-05, 0.05, 7.159514365780138, 2.3012391092961666
118, 300, 0.01, 3e-05, 0.03, 6.9720988961996095, 2.266788281588087
119, 300, 0.01, 3e-05, 0.01, 6.99294859777042, 2.2705793477828764
120, 300, 0.01, 1e-05, 0.8, 78.0878618605551, 5.46140115132871
121, 300, 0.01, 1e-05, 0.5, 7.878316345031116, 2.2069335944844637
122, 300, 0.01, 1e-05, 0.3, 7.142284957338328, 2.1964603256403263
123, 300, 0.01, 1e-05, 0.1, 7.024635175353893, 2.255115220581632
124, 300, 0.01, 1e-05, 0.08, 6.929257075911158, 2.248590746725636
125, 300, 0.01, 1e-05, 0.05, 7.255703375780165, 2.236716774843611
126, 300, 0.01, 1e-05, 0.03, 7.079212130710689, 2.3281846039252185
127, 300, 0.01, 1e-05, 0.01, 6.892114841595458, 2.256140120777604
128, 300, 0.008, 8e-05, 0.8, 36.953729673099645, 3.6439183844543783
129, 300, 0.008, 8e-05, 0.5, 8.055961147949093, 2.2669340319962332
130, 300, 0.008, 8e-05, 0.3, 7.517468879122004, 2.2582360058419884
131, 300, 0.008, 8e-05, 0.1, 7.29375708080417, 2.3152718593511676
132, 300, 0.008, 8e-05, 0.08, 7.2232491829788446, 2.2999146218407907
133, 300, 0.008, 8e-05, 0.05, 7.318406047404492, 2.34793982428306
134, 300, 0.008, 8e-05, 0.03, 7.290965224680848, 2.3294801135699155
135, 300, 0.008, 8e-05, 0.01, 7.42914208778989, 2.340142590162938
136, 300, 0.008, 5e-05, 0.8, 44.80884854777329, 3.6956317822979345
137, 300, 0.008, 5e-05, 0.5, 8.028904189092946, 2.2281795312003974
138, 300, 0.008, 5e-05, 0.3, 7.5339503278542015, 2.2602723982545103
139, 300, 0.008, 5e-05, 0.1, 7.454958648596978, 2.312598141209165
140, 300, 0.008, 5e-05, 0.08, 7.102983103189567, 2.291665068705128
141, 300, 0.008, 5e-05, 0.05, 7.437682128575192, 2.3554420941644114
142, 300, 0.008, 5e-05, 0.03, 7.487536702002524, 2.35507349387568
143, 300, 0.008, 5e-05, 0.01, 7.070441731289769, 2.3172375622371812
144, 300, 0.008, 3e-05, 0.8, 41.75215172189066, 4.104657463596266
145, 300, 0.008, 3e-05, 0.5, 7.719636960950359, 2.2372533979744498
146, 300, 0.008, 3e-05, 0.3, 7.586795635521857, 2.231321003093113
147, 300, 0.008, 3e-05, 0.1, 7.217694307377178, 2.3147145148873145
148, 300, 0.008, 3e-05, 0.08, 7.165888068619222, 2.322914625981638
149, 300, 0.008, 3e-05, 0.05, 7.133534383976306, 2.2820942060067333
150, 300, 0.008, 3e-05, 0.03, 7.367761423338557, 2.276341822685679
151, 300, 0.008, 3e-05, 0.01, 7.326840863247888, 2.338445112653586
152, 300, 0.008, 1e-05, 0.8, 39.98478599295262, 3.7013036770173664
153, 300, 0.008, 1e-05, 0.5, 8.384256473158349, 2.249467450407196
154, 300, 0.008, 1e-05, 0.3, 7.612044563377926, 2.2775623086975774
155, 300, 0.008, 1e-05, 0.1, 7.391780850272274, 2.336977215354209
156, 300, 0.008, 1e-05, 0.08, 7.2926807070332815, 2.2667740706701838
157, 300, 0.008, 1e-05, 0.05, 7.1781928442245135, 2.2596694251063574
