Configuration, Epochs, Learning Rate, Regularization, Momentum, Loss (MSE), Evaluation (MEE)
135, 300, 0.008, 8e-05, 0.01, 7.925200929635116, 2.4414920426120763
136, 300, 0.008, 5e-05, 0.8, 28.426398677676826, 3.64509460355548
137, 300, 0.008, 5e-05, 0.5, 9.725192453841208, 2.6058020492035725
138, 300, 0.008, 5e-05, 0.3, 9.091071169025524, 2.532513366929617
139, 300, 0.008, 5e-05, 0.1, 8.42181734208663, 2.495216823750451
140, 300, 0.008, 5e-05, 0.08, 8.079972830908043, 2.412049957146602
141, 300, 0.008, 5e-05, 0.05, 7.71302580167352, 2.3664215987668493
142, 300, 0.008, 5e-05, 0.03, 7.751002148713967, 2.4607252711991454
143, 300, 0.008, 5e-05, 0.01, 7.826796467101152, 2.3697198620510864
144, 300, 0.008, 3e-05, 0.8, 25.667542101073927, 3.581838266922042
145, 300, 0.008, 3e-05, 0.5, 10.644451470164082, 2.7686475228565675
146, 300, 0.008, 3e-05, 0.3, 8.662217764704726, 2.5004593081664597
147, 300, 0.008, 3e-05, 0.1, 8.311183166196987, 2.4533427159395935
148, 300, 0.008, 3e-05, 0.08, 7.961761713341943, 2.4300742554406094
149, 300, 0.008, 3e-05, 0.05, 7.7950495060735605, 2.414598726700872
150, 300, 0.008, 3e-05, 0.03, 7.698456723608421, 2.4292560842013367
151, 300, 0.008, 3e-05, 0.01, 8.173618302248256, 2.4742167493909224
152, 300, 0.008, 1e-05, 0.8, 29.37795790667506, 3.8472584888149415
153, 300, 0.008, 1e-05, 0.5, 10.351693110066972, 2.6935413083385216
154, 300, 0.008, 1e-05, 0.3, 8.843399278709148, 2.5125460323676774
155, 300, 0.008, 1e-05, 0.1, 8.156393963553741, 2.4707940433146582
156, 300, 0.008, 1e-05, 0.08, 7.859581474299714, 2.439640555312958
157, 300, 0.008, 1e-05, 0.05, 7.719303869157734, 2.4753843991821904
158, 300, 0.008, 1e-05, 0.03, 8.125062377925813, 2.468107306324444
159, 300, 0.008, 1e-05, 0.01, 7.701430891036412, 2.44832233839061
160, 300, 0.005, 8e-05, 0.8, 26.19312536420416, 4.045940921619973
161, 300, 0.005, 8e-05, 0.5, 15.544502270201084, 3.3516163718869123
162, 300, 0.005, 8e-05, 0.3, 12.55307847991388, 3.01499898670642
163, 300, 0.005, 8e-05, 0.1, 10.566030401344255, 2.8100832694790894
164, 300, 0.005, 8e-05, 0.08, 9.717336183150373, 2.67284789610671
165, 300, 0.005, 8e-05, 0.05, 10.948923206245617, 2.78691617345032
